Region,Q1,Q2,Q3,Q4,Q5,Q6:1,Q6:2,Q6:3,Q6:4,Q6:5,Q6:6,Q7:1,Q7:2,Q7:3,Q7:4,Q7:5,Q7:6,Q8,Q9,Q9a,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q16a,Q16b,Q16c,Q16d,Q17,Q18,Q19,Q20:1,Q20:2,Q20:3,Q20:4,Q21,Q21a,Q21b,Q21c,Q21d,Q21e,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q28a,Q28b,Q28c,Q28d,Q29,Q29a,Q29b,Q29c,Q29d,Q29e,Q29f,Q29g,Q29h,Q29i,Q29j,Q29k,Q30,Q31,Q32:1,Q32:2,Q32:3,Q32:4,Q32:5,Q32:6,Q32:7,Q32:8,Q33:1,Q33:2,Q33:3,Q33:4,Q33:5,Q33:6,Q34,Q35,Q36,PosNeg,ServiceArea
East,6 to 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),40-49,Yes ,Repairs and maintenance,Neighbourhood issues,Rent,Residency transfer,,,,,,By email,,,No,Fairly dissatisfied,Fairly dissatisfied,Neither satisfied nor dissatisfied,Yes,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Yes,No ,,,,,,,Very satisfied,Yes,Via email,,By phone,,Fairly satisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,Fairly satisfied,Fairly dissatisfied,Very satisfied,Very satisfied,Fairly satisfied,Minor problem,Major problem,Major problem,Not a problem at all,Minor problem,Major problem,Major problem,Minor problem,Major problem,Minor problem,Not a problem at all,Minor problem,No,No,,,Family care responsibilities,,,,,Lack of interest,Activities for children and young people,Employment opportunities,Training opportunities,,,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,"It bothers me when I receive text messages regarding problems in the building that I’m not contributing to such as slamming doors, dumping rubbish, parking in other peoples car parks and all the other SMS that are sent daily. With security cameras in the building they should be able to identify the people doing these things and deal with them directly and more effectively.(there is rarely a day go by that Housing First does not SMS about something - often more than 1 SMS per day) Recently I have also been getting phones calls from Housing First to see if I will be attending Centrelink information meetings or other type of meetings or activities they have organised-this is after having already received information about the availability of the these meetings via post AND SMS. This amount of communication feels quite invading.",Negative,HousingFirst - communication materials
Inner Northwest,More than 10 years,English,None of the above,40-49,Yes ,Repairs and maintenance,,Rent,,,,,,,By email,,,Yes,Very dissatisfied,Fairly dissatisfied,Neither satisfied nor dissatisfied,Yes,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Yes,Yes,Very satisfied,Fairly dissatisfied,Fairly dissatisfied,Very dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Fairly dissatisfied,Yes,Via email,,,,No opinion,Very dissatisfied,Fairly dissatisfied,Very satisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Fairly dissatisfied,Yes,Neither satisfied nor dissatisfied,Very dissatisfied,Very satisfied,Very satisfied,Very satisfied,Fairly dissatisfied,Very satisfied,Fairly satisfied,Fairly satisfied,Major problem,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Major problem,Minor problem,Minor problem,Not a problem at all,Yes,No,Location of the meetings,Transport cost,,,,,,,,Employment opportunities,,,,,Fairly dissatisfied,Fairly dissatisfied,"Your maintenance team has very little follow up and does very little due diligence. Also, I’m established communal dwellings you often pick remnants who are an ill fit.",Negative,Repairs - contact/communication
Inner West,6 to 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),70-79,Yes ,Repairs and maintenance,,,,,Other,By phone,,,By email,,,No,Fairly satisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,Very satisfied,No,,,,,,,,,,,,,,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Major problem,Minor problem,Minor problem,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Yes,No,,,,,,,,,,,,,,,Fairly satisfied,Fairly satisfied,,,
West,Less than a year,English,Aboriginal or Torres Strait Islander,40-49,Yes ,Repairs and maintenance,,,,,,By phone,,,,,,Yes,Fairly satisfied,Fairly satisfied,Fairly satisfied,Yes,Fairly satisfied,Fairly satisfied,Yes,Yes,Fairly satisfied,Very satisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Very satisfied,Fairly satisfied,Fairly satisfied,Yes,,,By phone,,Fairly satisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,No,,Fairly satisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Minor problem,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Unsure,Unsure,,,,,,,,,,Employment opportunities,,,,,No opinion,Fairly satisfied,,,
Inner Northwest,6 to 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),40-49,Yes ,Repairs and maintenance,Neighbourhood issues,,,,,By phone,,,By email,,,No,Very dissatisfied,Very dissatisfied,Very dissatisfied,Yes,Very dissatisfied,Very dissatisfied,Yes,Yes,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Neither satisfied nor dissatisfied,Yes,Via email,,By phone,,Fairly satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Yes,Fairly dissatisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Very dissatisfied,Very satisfied,Very dissatisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Major problem,Minor problem,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Minor problem,Minor problem,Not a problem at all,Not a problem at all,Yes,Unsure,,,,,,,,,,,,,,,,Very dissatisfied,Lack of replies to emails  Completely ignoring difficult situations E.g. car parking and mentally unstable resident assaulting elderly tenant and verbally abusing 4 of the current tenants,Negative,Housing services - customer service
East,1 to 2 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),50-59,No ,,,,,,,,,,,,,,,,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,Very satisfied,No,,,,,,,,,,,,,,No opinion,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Unsure,Unsure,,,,,,,,Lack of interest,,,,,Social activities,,Very satisfied,Very satisfied,I have had no problems with housing first  I have had no problems with my residency,Positive,Housing services
Inner South,More than 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),40-49,Yes ,Repairs and maintenance,,Rent,,,,,,,By email,,,No,Fairly dissatisfied,Fairly dissatisfied,Fairly satisfied,Yes,Fairly satisfied,Neither satisfied nor dissatisfied,Yes,No ,,,,,,,Fairly satisfied,Yes,Via email,,,,Fairly satisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,No,,Very satisfied,Very satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Major problem,Major problem,Minor problem,Minor problem,Major problem,Minor problem,Minor problem,Not a problem at all,Minor problem,,Minor problem,Major problem,Yes,Yes,,,,Times/day of meetings,,,,,,,,,,,Neither satisfied nor dissatisfied,Fairly satisfied,,,
Inner South,3 to 5 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),60-69,Yes ,Repairs and maintenance,,,,,,,,,By email,,,Yes,Very satisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Unsure,No opinion,No opinion,Unsure,No ,,,,,,,Neither satisfied nor dissatisfied,No,,,,,,,,,,,,,,Neither satisfied nor dissatisfied,Very satisfied,Fairly satisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Major problem,Minor problem,Minor problem,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Minor problem,Not a problem at all,Not a problem at all,No,No,,,,,,,,Lack of interest,,,,,,Other,Fairly satisfied,Neither satisfied nor dissatisfied,Contractors should wear ID when on site. Cameras should be implemented on site. Parking signage should be made more prominent i.e.: residents only More lighting on walkways and carpark.,Negative,Other
Inner Northwest,More than 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),60-69,Yes ,,,,,,Other,,,,By email,,,No,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Yes,Neither satisfied nor dissatisfied,Fairly satisfied,Unsure,Yes,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Fairly dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Fairly satisfied,Yes,,,By phone,,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,No,,Fairly satisfied,Very satisfied,Very satisfied,Fairly satisfied,Fairly dissatisfied,No opinion,Fairly satisfied,Fairly satisfied,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Major problem,Not a problem at all,Not a problem at all,Unsure,No,,,,,,,,Lack of interest,,,,,,,No opinion,Fairly satisfied,I had a break in and my laptop stolen due to poor Workmanship of a maintenance staff member from housing first. The maintenance man clearly didn’t know what he was doing and put the door lock in the wrong way around. I.e. it was locked inside and unlocked on the outside. The maintenance man attended 3 times to fix the back door lock and still got it wrong. I have made a complaint and haven’t had a reply.,Negative,Repairs - contractors
Inner South,6 to 10 years,Russian,Migrant (not born in Australia),40-49,Yes ,,Neighbourhood issues,,,,,,In person,,,,,No,Fairly dissatisfied,,Fairly satisfied,Yes,Neither satisfied nor dissatisfied,Fairly dissatisfied,,Yes,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Fairly dissatisfied,Fairly satisfied,Yes,,,,Other,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Fairly satisfied,No,,Fairly satisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Minor problem,Major problem,Major problem,Major problem,,Major problem,Major problem,Minor problem,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,No,No,,,,Times/day of meetings,,,,,,Employment opportunities,,,Social activities,,Fairly satisfied,Fairly satisfied,,,
South,More than 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),50-59,Yes ,,,Rent,,,,,,,By email,,,No,Very satisfied,Very dissatisfied,Fairly satisfied,Unsure,Fairly dissatisfied,Neither satisfied nor dissatisfied,Unsure,Yes,Very satisfied,Very satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly dissatisfied,No,,,,,,,,,,,,,,Fairly dissatisfied,Very satisfied,Fairly satisfied,Very satisfied,Fairly satisfied,Very satisfied,Very satisfied,Fairly dissatisfied,,Major problem,Minor problem,Not a problem at all,Not a problem at all,Minor problem,Major problem,Major problem,Major problem,Major problem,Major problem,Major problem,Yes,Yes,Location of the meetings,Transport cost,,Times/day of meetings,,,,,,Employment opportunities,Training opportunities,Helping to share future programs for residents,Social activities,,Fairly satisfied,Fairly satisfied,"I sent payslips in December 2022, haven't heard from him. For me, this is normal",Negative,Housing services - customer service
Inner South,3 to 5 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),50-59,Yes ,Repairs and maintenance,Neighbourhood issues,Rent,,,,By phone,,,,,,No,Very dissatisfied,Very dissatisfied,Very dissatisfied,Yes,Very dissatisfied,Very dissatisfied,Yes,Yes,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Yes,Via email,,By phone,,Very dissatisfied,No opinion,Very dissatisfied,Very dissatisfied,No opinion,No opinion,Very dissatisfied,No,,Very dissatisfied,Very satisfied,No opinion,No opinion,Very dissatisfied,No opinion,No opinion,No opinion,Minor problem,Not a problem at all,Major problem,Not a problem at all,Major problem,Minor problem,Not a problem at all,Major problem,Minor problem,Minor problem,Not a problem at all,Not a problem at all,No,No,,,,,,,,,,,,,,,Very dissatisfied,Very dissatisfied,Issues such as damp and mould are ignored and maintenance of roof and other structural issues are delayed which should be given priority over other issues. Problem of excessive noise from co tenants not handled correctly and continues to detriment of affected tenants.,Negative,Housing services
South,More than 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),50-59,Yes ,Repairs and maintenance,,,,,Other,,,,By email,,,Unsure,Neither satisfied nor dissatisfied,Fairly dissatisfied,Neither satisfied nor dissatisfied,Yes,Fairly satisfied,Neither satisfied nor dissatisfied,Yes,Yes,Very satisfied,Fairly dissatisfied,Fairly dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Fairly satisfied,Yes,,,By phone,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,No,,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Major problem,Major problem,Minor problem,Minor problem,Not a problem at all,Minor problem,Major problem,Minor problem,Major problem,Major problem,Not a problem at all,Minor problem,Yes,Unsure,Location of the meetings,,Family care responsibilities,Times/day of meetings,,No feedback received or lack of action,,,,,,,,Other,Neither satisfied nor dissatisfied,Fairly satisfied,"In the last year or so, the amount of drug use in the building by tenants and other people that they draw into the building, has gotten bad. They show no respect for the place, just go around trashing it and throwing rubbish and old furniture everywhere, plus graffiti in the lift's and outside the building too.",Negative,Neighbour issues/disputes
